ios_path,category,status,android_path_or_note
beta-iumrah-app-main/Sources/Models/IumrahAccountModels.swift,Models,ported-stage2,app/src/main/java/com/iumrah/beta/models/account/IumrahAccountModels.kt
beta-iumrah-app-main/Sources/Models/IumrahFriendsModels.swift,Models,ported-stage2,app/src/main/java/com/iumrah/beta/models/account/IumrahFriendsModels.kt
beta-iumrah-app-main/Sources/Models/IumrahSecurityConfirmationModels.swift,Models,ported-stage2,app/src/main/java/com/iumrah/beta/models/account/IumrahSecurityConfirmationModels.kt
beta-iumrah-app-main/Sources/Models/PackageEngineModels.swift,Models,pending,
beta-iumrah-app-main/Sources/Models/ServerPackageSearchModels.swift,Models,pending,
beta-iumrah-app-main/Sources/Models/TripModels.swift,Models,pending,
beta-iumrah-app-main/Sources/Networking/APIClient.swift,Networking,ported-stage2,app/src/main/java/com/iumrah/beta/core/network/APIClient.kt
beta-iumrah-app-main/Sources/Services/AirportSearchService.swift,Services,pending,
beta-iumrah-app-main/Sources/Services/BookingService.swift,Services,pending,
beta-iumrah-app-main/Sources/Services/ChatService.swift,Services,pending,
beta-iumrah-app-main/Sources/Services/ClientNotificationCenter.swift,Services,pending,
beta-iumrah-app-main/Sources/Services/ClientPushService.swift,Services,pending,
beta-iumrah-app-main/Sources/Services/FlightFareCalendarService.swift,Services,pending,
beta-iumrah-app-main/Sources/Services/FlightSearchService.swift,Services,pending,
beta-iumrah-app-main/Sources/Services/HotelCatalogService.swift,Services,pending,
beta-iumrah-app-main/Sources/Services/IgnavFlightInventoryProvider.swift,Services,pending,
beta-iumrah-app-main/Sources/Services/IumrahAccountService.swift,Services,ported-stage2,app/src/main/java/com/iumrah/beta/data/account/IumrahAccountService.kt
beta-iumrah-app-main/Sources/Services/IumrahConnectivityMonitor.swift,Services,pending,
beta-iumrah-app-main/Sources/Services/LocalFXRateService.swift,Services,pending,
beta-iumrah-app-main/Sources/Services/LocalPackagePricingEngine.swift,Services,ported-stage1,
beta-iumrah-app-main/Sources/Services/OfficialFlightCandidateSearchService.swift,Services,pending,
beta-iumrah-app-main/Sources/Services/PackageQuoteService.swift,Services,pending,
beta-iumrah-app-main/Sources/Services/PushNotificationManager.swift,Services,pending,
beta-iumrah-app-main/Sources/Services/RealFlightPackageSearchService.swift,Services,pending,
beta-iumrah-app-main/Sources/Services/RemotePackageEngineClient.swift,Services,pending,
beta-iumrah-app-main/Sources/State/BookingStore.swift,State,pending,
beta-iumrah-app-main/Sources/State/BookingStoreESIMCompatibility.swift,State,pending,
beta-iumrah-app-main/Sources/State/IumrahAccountStore.swift,State,ported-stage2,app/src/main/java/com/iumrah/beta/data/account/IumrahAccountStore.kt
beta-iumrah-app-main/Sources/State/IumrahAccountStoreLoginCompatibility.swift,State,ported-stage2,compatibility overload unnecessary in Kotlin; identifier login is canonical
beta-iumrah-app-main/Sources/State/JourneyStore.swift,State,pending,
beta-iumrah-app-main/Sources/Umrah Flow/Components/AdvisorVoiceGradient.swift,Umrah Flow,pending,
beta-iumrah-app-main/Sources/Umrah Flow/Components/SafaDuaSheet.swift,Umrah Flow,pending,
beta-iumrah-app-main/Sources/Umrah Flow/Components/SunnahDuaSheet.swift,Umrah Flow,pending,
beta-iumrah-app-main/Sources/Umrah Flow/Components/UmrahAdvisorCard.swift,Umrah Flow,pending,
beta-iumrah-app-main/Sources/Umrah Flow/Components/UmrahAdvisorHomeCard.swift,Umrah Flow,pending,
beta-iumrah-app-main/Sources/Umrah Flow/Components/UmrahAdvisorWave.swift,Umrah Flow,pending,
beta-iumrah-app-main/Sources/Umrah Flow/Components/UmrahFlowButtons.swift,Umrah Flow,pending,
beta-iumrah-app-main/Sources/Umrah Flow/Components/UmrahFlowHeader.swift,Umrah Flow,pending,
beta-iumrah-app-main/Sources/Umrah Flow/Components/UmrahFlowMotion.swift,Umrah Flow,pending,
beta-iumrah-app-main/Sources/Umrah Flow/Components/UmrahFlowNavigatorSheet.swift,Umrah Flow,pending,
beta-iumrah-app-main/Sources/Umrah Flow/Components/UmrahFlowTheme.swift,Umrah Flow,pending,
beta-iumrah-app-main/Sources/Umrah Flow/Components/UmrahGlassControls.swift,Umrah Flow,pending,
beta-iumrah-app-main/Sources/Umrah Flow/Components/UmrahLanguagesSheet.swift,Umrah Flow,pending,
beta-iumrah-app-main/Sources/Umrah Flow/Components/UmrahVoiceStepScreen.swift,Umrah Flow,pending,
beta-iumrah-app-main/Sources/Umrah Flow/Services/UmrahFlowAudioService.swift,Umrah Flow,pending,
beta-iumrah-app-main/Sources/Umrah Flow/Services/UmrahFlowStore.swift,Umrah Flow,pending,
beta-iumrah-app-main/Sources/Umrah Flow/Services/UmrahFlowSupabaseClient.swift,Umrah Flow,pending,
beta-iumrah-app-main/Sources/Umrah Flow/UmrahFlowRootView.swift,Umrah Flow,pending,
beta-iumrah-app-main/Sources/Umrah Flow/UmrahFlowState.swift,Umrah Flow,pending,
beta-iumrah-app-main/Sources/Umrah Flow/Views/AfterUmrahView.swift,Umrah Flow,pending,
beta-iumrah-app-main/Sources/Umrah Flow/Views/InUmrahView.swift,Umrah Flow,pending,
beta-iumrah-app-main/Sources/Umrah Flow/Views/SafaReadingPage.swift,Umrah Flow,pending,
beta-iumrah-app-main/Sources/Umrah Flow/Views/SafaView.swift,Umrah Flow,pending,
beta-iumrah-app-main/Sources/Umrah Flow/Views/TawafReadingPage.swift,Umrah Flow,pending,
beta-iumrah-app-main/Sources/Umrah Flow/Views/TawafView.swift,Umrah Flow,pending,
beta-iumrah-app-main/Sources/Umrah Flow/Views/UmrahEndView.swift,Umrah Flow,pending,
beta-iumrah-app-main/Sources/Umrah Flow/Views/UmrahStartView.swift,Umrah Flow,pending,
beta-iumrah-app-main/Sources/Umrah Flow/Views/UmrahView.swift,Umrah Flow,pending,
beta-iumrah-app-main/Sources/Views/Airports/AirportGlobePickerView.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Airports/AirportPickerView.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Airports/AirportSelectorButton.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Booking/BookingCheckoutView.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Booking/BookingDetailView.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Booking/BookingHotelChangeView.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Booking/BookingItineraryCalendarView.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Booking/IumrahBookingDomeCard.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Booking/IumrahSecurityConfirmationView.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Booking/PilgrimCheckoutView.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Chat/BookingChatView.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Chat/CareChatAppearance.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Chat/CareChatFeedback.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Chat/CareChatMessageRow.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Chat/CareContactInfoView.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Chat/CareNativeGlass.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Components/AirlineLogoView.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Components/ConnectivityStatusPill.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Components/CounterRow.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Components/FlightCard.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Components/HotelCard.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Components/IumrahHeaderLogo.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Components/IumrahInternalHeader.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Components/IumrahRootPageTitle.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Components/LoopingVideoView.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Components/PackagePriceView.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Components/SectionHeader.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/ESIM/ESIMView.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Flights/FlightDetailsView.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Flights/FlightProviderVerificationCard.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Flights/FlightSearchFailureView.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Flights/FlightSearchImmersiveView.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Flights/FlightSearchProgressComponents.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Flights/FlightSearchProgressView.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Flights/FlightSearchReadyView.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Flights/IumrahFlightsView.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Flights/IumrahInteractiveGlobe.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Flights/OutboundFlightView.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Flights/ReturnFlightView.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Home/HomeDashboardView.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Home/HomeEmotionalJourneyView.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Home/HomeVideoCarousel.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Home/IumrahBackendSystemView.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Home/IumrahFriendsView.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Home/IumrahGiftCardPass.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Home/IumrahStoryView.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Home/SystemNotificationCard.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Home/SystemNotificationsCarouselView.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Hotels/HotelDetailView.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Hotels/HotelSelectionView.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Hotels/PrimaryHotelView.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Onboarding/OnboardingFlowView.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Package/FinalPackageView.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Package/PackageGenerationView.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Package/UmrahCarePackageExplanationView.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/RootView.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Tabs/BookingsHomeView.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Tabs/CareHomeView.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Tabs/HotelsHomeView.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Tabs/UmrahHomeView.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Trip/FlightDateCalendarView.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Trip/FlightSearchFiltersCard.swift,Views,pending,
beta-iumrah-app-main/Sources/Views/Trip/TripBuilderView.swift,Views,pending,
